Especie;Tratamiento;peso-seco-mg
Mtruncatula;wt;81,6
Mtruncatula;wt;42,3
Mtruncatula;wt;62,2
Mtruncatula;wt;61,7
Mtruncatula;wt;88,9
Mtruncatula;wt;111,6
Mtruncatula;wt;68,9
Mtruncatula;wt;69
Mtruncatula;wt;78,9
Mtruncatula;wt;99
Mtruncatula;wt;74,5
Mtruncatula;wt;60,1
Mtruncatula;wt;37,7
Mtruncatula;wt;68,9
Mtruncatula;wt;77,9
Mtruncatula;wt;56,3
Mtruncatula;wt;69,6
Mtruncatula;wt;84,1
Mtruncatula;wt;93,3
Mtruncatula;wt;153,6
Mtruncatula;wt;73,1
Mtruncatula;wt;69,2
Mtruncatula;wt;78,6
Mtruncatula;wt;73,5
Mtruncatula;wt;91,7
Mtruncatula;wt;68
Mtruncatula;wt;78,9
Mtruncatula;wt;63,8
Mtruncatula;wt;80,5
Mtruncatula;wt;69,9
Mtruncatula;wt;79,3
Mtruncatula;wt;75,8
Mtruncatula;wt;80,2
Mtruncatula;wt;43,2
Mtruncatula;wt;40,2
Mtruncatula;wt;74,5
Mtruncatula;wt;43,4
Mtruncatula;wt;67,6
Mtruncatula;wt;93,5
Mtruncatula;wt;88,6
Mtruncatula;wt;115,6
Mtruncatula;wt;91
Mtruncatula;wt;68,8
Mtruncatula;wt;90,5
Mtruncatula;wt;72,6
Mtruncatula;wt;54
Mtruncatula;wt;86
Mtruncatula;wt;81,9
Mtruncatula;actK1-;83
Mtruncatula;actK1-;65
Mtruncatula;actK1-;17,5
Mtruncatula;actK1-;47,2
Mtruncatula;actK1-;70,4
Mtruncatula;actK1-;80,5
Mtruncatula;actK1-;40,7
Mtruncatula;actK1-;41,7
Mtruncatula;actK1-;35,6
Mtruncatula;actK1-;50,3
Mtruncatula;actK1-;46,3
Mtruncatula;actK1-;54,3
Mtruncatula;actK1-;42,8
Mtruncatula;actK1-;41,3
Mtruncatula;actK1-;116,2
Mtruncatula;actK1-;93,8
Mtruncatula;actK1-;80,3
Mtruncatula;actK1-;62,3
Mtruncatula;actK1-;46,8
Mtruncatula;actK1-;53,7
Mtruncatula;actK1-;59,4
Mtruncatula;actK1-;52,4
Mtruncatula;actK1-;78,3
Mtruncatula;actK1-;66,9
Mtruncatula;actK1-;52,9
Mtruncatula;actK1-;77,2
Mtruncatula;actK1-;64,2
Mtruncatula;actK1-;72,6
Mtruncatula;actK1-;36,6
Mtruncatula;actK1-;92,3
Mtruncatula;actK1-;59,6
Mtruncatula;actK1-;51,4
Mtruncatula;actK1-;56,9
Mtruncatula;actK1-;73,2
Mtruncatula;actK1-;69,3
Mtruncatula;actK1-;69
Mtruncatula;actK1-;80,6
Mtruncatula;actK1-;60,8
Mtruncatula;actK1-;93
Mtruncatula;actK1-;99
Mtruncatula;actK1-;69,9
Mtruncatula;actK1-;64
Mtruncatula;actK1-;48,9
Mtruncatula;actK1-;48,5
Mtruncatula;actK1-;48,1
Mtruncatula;actK1-;46,7
Mtruncatula;actK1-;58,9
Mtruncatula;actK1-;71,8
Mtruncatula;actK1-;42,2
Mtruncatula;actK1-;44,3
Mtruncatula;actK1-;60,3
Mtruncatula;actK1-;63,6
Mtruncatula;actK1-;74,3
Mtruncatula;actK2-;31,4
Mtruncatula;actK2-;26,8
Mtruncatula;actK2-;50,8
Mtruncatula;actK2-;42,1
Mtruncatula;actK2-;41,2
Mtruncatula;actK2-;49,9
Mtruncatula;actK2-;56,9
Mtruncatula;actK2-;47,2
Mtruncatula;actK2-;58,8
Mtruncatula;actK2-;49,6
Mtruncatula;actK2-;63,5
Mtruncatula;actK2-;58,9
Mtruncatula;actK2-;31,4
Mtruncatula;actK2-;23,9
Mtruncatula;actK2-;37,8
Mtruncatula;actK2-;31,1
Mtruncatula;actK2-;64
Mtruncatula;actK2-;65,3
Mtruncatula;actK2-;54,1
Mtruncatula;actK2-;46,5
Mtruncatula;actK2-;45,3
Mtruncatula;actK2-;39,1
Mtruncatula;actK2-;78
Mtruncatula;actK2-;32
Mtruncatula;actK2-;54,9
Mtruncatula;actK2-;46
Mtruncatula;actK2-;43,8
Mtruncatula;actK2-;70,3
Mtruncatula;actK2-;37,6
Mtruncatula;actK2-;39,3
Mtruncatula;actK2-;34,7
Mtruncatula;actK2-;67,4
Mtruncatula;actK2-;61,3
Mtruncatula;actK2-;73,5
Mtruncatula;actK2-;47,3
Mtruncatula;actK2-;48,8
Mtruncatula;actK2-;41,4
Mtruncatula;actK2-;33,9
Mtruncatula;actK2-;48
Mtruncatula;actK2-;77,5
Mtruncatula;actK2-;29,4
Mtruncatula;actK2-;41,1
Mtruncatula;actK2-;52,4
Mtruncatula;actK2-;52,8
Mtruncatula;actK2-;68,3
Mtruncatula;actK2-;56,1
Mtruncatula;control;28,4
Mtruncatula;control;26,9
Mtruncatula;control;16,8
Mtruncatula;control;27
Mtruncatula;control;28,9
Mtruncatula;control;23,2
Mtruncatula;control;26,2
Mtruncatula;control;13
Mtruncatula;control;18,3
Mtruncatula;control;13,2
Mtruncatula;control;20,9
Mtruncatula;control;14
Mtruncatula;control;26,2
Mtruncatula;control;21,3
Mtruncatula;control;16,8
Mtruncatula;control;26
Mtruncatula;control;19,5
Mtruncatula;control;15,5
Mtruncatula;control;19,9
Mtruncatula;control;21,1
Mtruncatula;control;23,5
Mtruncatula;control;13
Mtruncatula;control;23,7
Mtruncatula;control;27,6
Mtruncatula;control;11,9
Mtruncatula;control;13
Mtruncatula;control;17,6
Mtruncatula;control;14,5
Mtruncatula;control;13,2
Mtruncatula;control;10,6
Mtruncatula;control;17,6
Mtruncatula;control;12,9
Mtruncatula;control;19
Mtruncatula;control;12,6
Mtruncatula;control;13,2
Mtruncatula;control;20,2
Mtruncatula;control;13,8
Mtruncatula;control;17,2
Mtruncatula;control;16,5
Mtruncatula;control;19,1
Mtruncatula;control;9,3
Mtruncatula;control;11,5
Mtruncatula;control;21,8
Mtruncatula;control;27
Mtruncatula;control;25,8
Mtruncatula;control;32,2
Mtruncatula;control;17,2
Mtruncatula;control;16,2
Mtruncatula;control;33
Mtruncatula;control;17,7
Mtruncatula;control;8,5
Mtruncatula;control;21,9
Msativa;wt;31,9
Msativa;wt;38,7
Msativa;wt;46,8
Msativa;wt;50,6
Msativa;wt;33,8
Msativa;wt;14,7
Msativa;wt;51,4
Msativa;wt;31,3
Msativa;wt;61,8
Msativa;wt;37,4
Msativa;wt;74,1
Msativa;wt;68,5
Msativa;wt;95,8
Msativa;wt;46,7
Msativa;wt;47,3
Msativa;wt;55,1
Msativa;wt;47,3
Msativa;wt;44,4
Msativa;wt;53,3
Msativa;wt;57,4
Msativa;wt;30,3
Msativa;wt;38,6
Msativa;wt;37,5
Msativa;wt;53,9
Msativa;wt;40,8
Msativa;wt;51,4
Msativa;wt;39,5
Msativa;wt;45,5
Msativa;wt;45,6
Msativa;wt;63,6
Msativa;wt;78,3
Msativa;wt;99,4
Msativa;wt;66,9
Msativa;wt;54,8
Msativa;wt;63,9
Msativa;wt;80,8
Msativa;wt;35,9
Msativa;wt;42,7
Msativa;wt;65
Msativa;wt;34,8
Msativa;wt;41,5
Msativa;wt;69,4
Msativa;wt;52,5
Msativa;wt;78,1
Msativa;wt;46,1
Msativa;wt;51,6
Msativa;wt;79,6
Msativa;wt;64,6
Msativa;actK1-;71,8
Msativa;actK1-;27,8
Msativa;actK1-;77
Msativa;actK1-;82,3
Msativa;actK1-;49,3
Msativa;actK1-;38,4
Msativa;actK1-;69,6
Msativa;actK1-;42,6
Msativa;actK1-;87,4
Msativa;actK1-;65,3
Msativa;actK1-;56,4
Msativa;actK1-;59,6
Msativa;actK1-;33,2
Msativa;actK1-;48
Msativa;actK1-;53,9
Msativa;actK1-;63,2
Msativa;actK1-;71,9
Msativa;actK1-;66,8
Msativa;actK1-;60,5
Msativa;actK1-;67,3
Msativa;actK1-;30
Msativa;actK1-;55,9
Msativa;actK1-;53,7
Msativa;actK1-;25,2
Msativa;actK1-;80,5
Msativa;actK1-;68,6
Msativa;actK1-;60,3
Msativa;actK1-;39,4
Msativa;actK1-;37
Msativa;actK1-;50,4
Msativa;actK1-;40,1
Msativa;actK1-;67,8
Msativa;actK1-;70,9
Msativa;actK1-;63,5
Msativa;actK1-;77,6
Msativa;actK1-;45,7
Msativa;actK1-;49,9
Msativa;actK1-;40,9
Msativa;actK1-;48,7
Msativa;actK1-;59,6
Msativa;actK1-;72,7
Msativa;actK1-;62,4
Msativa;actK1-;60,7
Msativa;actK1-;34
Msativa;actK1-;55,3
Msativa;actK1-;61,7
Msativa;actK1-;69,1
Msativa;actK2-;45,4
Msativa;actK2-;42,6
Msativa;actK2-;65,7
Msativa;actK2-;28,4
Msativa;actK2-;54,8
Msativa;actK2-;75,2
Msativa;actK2-;25,3
Msativa;actK2-;49,8
Msativa;actK2-;46,3
Msativa;actK2-;57,6
Msativa;actK2-;50,5
Msativa;actK2-;57,7
Msativa;actK2-;56,4
Msativa;actK2-;44,4
Msativa;actK2-;65,6
Msativa;actK2-;56
Msativa;actK2-;28,1
Msativa;actK2-;45,9
Msativa;actK2-;33,1
Msativa;actK2-;69,9
Msativa;actK2-;22,1
Msativa;actK2-;47,9
Msativa;actK2-;54,8
Msativa;actK2-;68,3
Msativa;actK2-;36,3
Msativa;actK2-;45,8
Msativa;actK2-;56,6
Msativa;actK2-;46,2
Msativa;actK2-;60,6
Msativa;actK2-;54,6
Msativa;actK2-;43,6
Msativa;actK2-;49,9
Msativa;actK2-;66
Msativa;actK2-;38,4
Msativa;actK2-;56,5
Msativa;actK2-;61,2
Msativa;actK2-;50,3
Msativa;actK2-;34,8
Msativa;actK2-;84,1
Msativa;actK2-;72,6
Msativa;actK2-;46,7
Msativa;actK2-;67,9
Msativa;actK2-;35,6
Msativa;actK2-;61,7
Msativa;actK2-;56,7
Msativa;actK2-;77,2
Msativa;actK2-;77,9
Msativa;actK2-;60,3
Msativa;actK2-;57,6
Msativa;control;10,7
Msativa;control;7,9
Msativa;control;7,1
Msativa;control;7,4
Msativa;control;7,4
Msativa;control;8,3
Msativa;control;7,6
Msativa;control;7,5
Msativa;control;8,1
Msativa;control;8,3
Msativa;control;8,9
Msativa;control;5,6
Msativa;control;6
Msativa;control;6,9
Msativa;control;5,9
Msativa;control;7,6
Msativa;control;7,5
Msativa;control;7,1
Msativa;control;7,9
Msativa;control;9,3
Msativa;control;5,5
Msativa;control;8,1
Msativa;control;6,2
Msativa;control;5,3
Msativa;control;8,1
Msativa;control;6,1
Msativa;control;7,4
Msativa;control;10
Msativa;control;8,3
Msativa;control;9,2
Msativa;control;9,3
Msativa;control;6,3
Msativa;control;6,5
Msativa;control;6,3
Msativa;control;8,9
Msativa;control;11,1
Msativa;control;12,4
Msativa;control;12,6
Msativa;control;10,7
Msativa;control;8,4
Msativa;control;5,4
Msativa;control;10,6
Msativa;control;8,9
Msativa;control;7,2
Msativa;control;8,9
Msativa;control;9,4
